Park name,Site number,Conductivity mg/cm,pH,Nitrate availability (ppm),Lead concentration*,,,,,,,,,,,,,
Blaisdell,2,430,6.41,0.208,37.29,,,,,,,,,,,,,
Blaisdell,3,270,6.81,0.208,46.66,,,,,,,,,,,,,
Blaisdell,4,240,6.47,0.208,59.15,,,,,,,,,,,,,
Blaisdell,5,260,6.7,0.208,35.49,,,,,,,,,,,,,
Blaisdell,1,1030,6.45,0.833,36.58,,,,,,,,,,,,,
Blaisdell ,2,288,6.82,0.625,12.17,,,,,,,,,,,,,
Blaisdell ,6,279.3,7.1,0.833,15.81,,,,,,,,,,,,,
Blaisdell ,5,290.3,6.83,0.833,8.3,,,,,,,,,,,,,
Blaisdell ,4,276.2,7.26,0.833,14.07,,,,,,,,,,,,,
Blaisdell,3,294,7.05,2.5,16.46,,,,,,,,,,,,,
Blaisdell ,1,294.8,7.01,5,13.42,,,,,,,,,,,,,
Cahullia Park,1,250,6.92,0.833,27.32,,,,,,,,,,,,,
Cahullia Park,2,200,6.23,0.833,15.74,,,,,,,,,,,,,
Cahullia Park,3,210,6.33,0.833,44.96,,,,,,,,,,,,,
Cahullia Park,4,240,6.2,0.833,57.52,,,,,,,,,,,,,
Cahullia Park,5,320,6.74,0.833,36.94,,,,,,,,,,,,,
Cucamonga,2,430,6.31,NA,NA,,,,,,,,,,,,,
Cucamonga,3,490,6.79,NA,NA,,,,,,,,,,,,,
Cucamonga,4,250,6.68,NA,18.81,,,,,,,,,,,,,
Cucamonga,5,240,6.69,NA,10.32,,,,,,,,,,,,,
Cucamonga ,1,160,6.86,NA,3.44,,,,,,,,,,,,,
Griffith Park,1,270,6.84,0.208,55.45,,,,,,,,,,,,,
Griffith Park,2,250,6.63,0.208,51.27,,,,,,,,,,,,,
Griffith Park,3,230,6.43,0.208,45.79,,,,,,,,,,,,,
Griffith Park,4,250,6.62,0.208,37.71,,,,,,,,,,,,,
Griffith Park,5,320,6.72,0.208,32.77,,,,,,,,,,,,,
Higginbotham Park,1,189.5,6.53,1.75,NA,,,,,,,,,,,,,
Higginbotham Park,1,2.9,6.65,2,NA,,,,,,,,,,,,,
Higginbotham Park,5,300.1,6.38,5,8.09,,,,,,,,,,,,,
Higginbotham Park,4,289,6.31,5,3.72,,,,,,,,,,,,,
Jaeger Park,1,159.2,6.4,0.25,5.23,,,,,,,,,,,,,
Jaeger Park,5,276.3,6.44,2,NA,,,,,,,,,,,,,
Jaeger Park,3,182.8,6.63,5,2.16,,,,,,,,,,,,,
Jaeger Park ,3,190.6,6.63,2.1,NA,,,,,,,,,,,,,
Jaeger Park ,5,228.9,6.36,5,NA,,,,,,,,,,,,,
June Vail Park,4,186,6.36,1.5,NA,,,,,,,,,,,,,
June Vail Park,2,166.3,6.1,1,7.78,,,,,,,,,,,,,
June Vail Park,1,282.2,6.16,2,NA,,,,,,,,,,,,,
June Vail Park,3,240.2,6.24,5,29.03,,,,,,,,,,,,,
June Vail Park ,5,216.3,6.42,1.5,NA,,,,,,,,,,,,,
La Puerta Sports Park,2,216.5,6.55,1,6.03,,,,,,,,,,,,,
La Puerta Sports Park,5,226.8,6.35,1,NA,,,,,,,,,,,,,
La Puerta Sports Park,2,62.5,6.41,2.5,4.11,,,,,,,,,,,,,
Larkin Park,3,291.8,6.43,0.25,NA,,,,,,,,,,,,,
Larkin Park,1,255.5,7.44,1,39.04,,,,,,,,,,,,,
Larkin Park,5,59.8,7.12,1,54.19,,,,,,,,,,,,,
Larkin Park,4,295,7.1,17.5,38.89,,,,,,,,,,,,,
Larkin Park,3,285.7,7.15,2.5,46.51,,,,,,,,,,,,,
Larkin Park,2,133.1,6.22,2.5,NA,,,,,,,,,,,,,
Larkin park ,2,288.2,7.04,5,67.85,,,,,,,,,,,,,
Marston,1,240,6.64,1,43.96,,,,,,,,,,,,,
Marston,2,230,6.77,1,37.73,,,,,,,,,,,,,
Marston,3,240,6.34,1,34.71,,,,,,,,,,,,,
Marston,4,250,6.7,1,39.87,,,,,,,,,,,,,
Marston,5,260,6.47,1,55.37,,,,,,,,,,,,,
Ontario,,NA,NA,0.5,NA,,,,,,,,,,,,,
Ontario,,NA,NA,2,NA,,,,,,,,,,,,,
Ontario,,NA,NA,2,NA,,,,,,,,,,,,,
Ontario,,NA,NA,5,NA,,,,,,,,,,,,,
Ontario,,NA,NA,5,NA,,,,,,,,,,,,,
Rosa Torrez,5,73.6,7.3,2.2,NA,,,,,,,,,,,,,
Rosa Torrez,4,232.8,7.2,0.833,8.87,,,,,,,,,,,,,
Rosa Torrez,3,177,7.16,0,2.9,,,,,,,,,,,,,
Rosa Torrez,2,190.1,7.26,0,4.57,,,,,,,,,,,,,
Rosa Torrez,1,146.7,7.22,0,4.46,,,,,,,,,,,,,
Wheeler Park,4,320,6.56,0.25,34.38,,,,,,,,,,,,,
Wheeler Park,5,220,6.49,0.25,37.32,,,,,,,,,,,,,
Wheeler Park,2,290,6.72,1,NA,,,,,,,,,,,,,
Wheeler Park,3,310,6.55,1,41.32,,,,,,,,,,,,,
Wheeler Park,1,910,6.77,2.5,33.65,,,,,,,,,,,,,
Wheeler Park,2,221.3,6.88,1,24.18,,,,,,,,,,,,,
Wheeler Park,6,268.4,7.1,2,NA,,,,,,,,,,,,,
Wheeler Park,4,50.7,7.01,2.2,14.63,,,,,,,,,,,,,
Wheeler Park,3,229.3,6.83,2.5,18.71,,,,,,,,,,,,,
Wheeler Park,1,295.9,7.04,2.5,NA,,,,,,,,,,,,,
Wheeler Park ,5,258,7.27,1,NA,,,,,,,,,,,,,
,1,2.6,6.55,0.25,NA,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
