Facility name,TRI ID,Address,City,County,State,Zip Code,Year,Chemical,CAS,Fugitive Air,Stack Air,Total Air,Surface Water Discharge,Underground Injection,Land Disposal,Total on-site release,Recycled on-site,Energy recovery on-site,Treated on-site
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',1998,BENZENE,'000071432',250,250,500,0,0,0,500,0,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',1999,BENZENE,'000071432',250,250,500,0,0,0,500,0,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2000,BENZENE,'000071432',250,250,500,0,0,0,500,0,0,4000
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2001,BENZENE,'000071432',250,250,500,0,0,0,500,0,0,5000
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2002,BENZENE,'000071432',250,250,500,0,0,0,500,0,0,6200
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2003,BENZENE,'000071432',250,250,500,0,0,0,500,0,0,6800
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2004,BENZENE,'000071432',250,250,500,0,0,0,500,0,0,7500
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2005,BENZENE,'000071432',250,250,500,0,0,0,500,0,0,8600
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2006,BENZENE,'000071432',118,24,142,0,0,0,142,0,0,8300
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2011,BENZENE,'000071432',127.61,86.58,214.19,0,0,0,214.19,0,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2012,BENZENE,'000071432',155.33,210.62,365.95,0,0,0,365.95,0,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2013,BENZENE,'000071432',73,14,87,0,0,0,87,0,0,17000
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2014,BENZENE,'000071432',69,16,85,0,0,0,85,0,0,0
TESORO WILMINGTON SALES TERMINAL,90744TXCRF1926C,1930 E PACIFIC COAST HIGHWAY,WILMINGTON,LOS ANGELES,CA,'90744',2015,BENZENE,'000071432',59,11,70,0,0,0,70,0,0,13000
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1998,BENZENE,'000071432',7,59,66,0,0,0,66,21,0,17
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1999,BENZENE,'000071432',9,111,120,0,0,0,120,0,0,2
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2000,BENZENE,'000071432',33,242,275,0,0,0,275,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2001,BENZENE,'000071432',30,122,152,0,0,0,152,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2002,BENZENE,'000071432',8,135,143,0,0,0,143,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2003,BENZENE,'000071432',20,456,476,0,0,0,476,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2004,BENZENE,'000071432',22,364,386,0,0,0,386,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2005,BENZENE,'000071432',61.83,326.2,388.03,0.541,0,0,388.571,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2006,BENZENE,'000071432',90.41,193.25,283.66,0,0,0,283.66,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2007,BENZENE,'000071432',71.57,201.1,272.67,0,0,0,272.67,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2008,BENZENE,'000071432',48.7,156.65,205.35,0,0,0,205.35,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2009,BENZENE,'000071432',30.86,188.28,219.14,0,0,0,219.14,1.08,0,494.54
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2010,BENZENE,'000071432',49.7,188.51,238.21,0,0,0,238.21,0,0,152
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2011,BENZENE,'000071432',32.65,143.78,176.43,0,0,0,176.43,2.1,0,5.16
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2012,BENZENE,'000071432',19,122.06,141.06,0,0,0,141.06,144.28,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2013,BENZENE,'000071432',13,140,153,0,0,0,153,0,0,16
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2014,BENZENE,'000071432',38,88,126,0,0,0,126,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2015,BENZENE,'000071432',49,67,116,0,0,0,116,32,0,93
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',1998,BENZENE,'000071432',139,218,357,0,0,0,357,0,0,0
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',1999,BENZENE,'000071432',6,69,75,0,0,0,75,0,0,0
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',2000,BENZENE,'000071432',6,60,66,0,0,0,67,0,0,0
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',2001,BENZENE,'000071432',30,104,134,0,0,0,134,0,0,0
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',2002,BENZENE,'000071432',14,63,77,0,0,0,77,0,0,0
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',2003,BENZENE,'000071432',49,121,170,0,0,0,170,0,0,0
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',2004,BENZENE,'000071432',48,507,555,0,0,0,555,0,0,0
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',2005,BENZENE,'000071432',44.81,123.19,168,0,0,0,168,0,0,0
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',2006,BENZENE,'000071432',44.1,129.23,173.33,0,0,0,173.33,0,0,0
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',2007,BENZENE,'000071432',49.47,153.18,202.65,0,0,0,202.65,0,0,0
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',2008,BENZENE,'000071432',29.42,123.89,153.31,0.73,0,0,154.04,0,0,0
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',2009,BENZENE,'000071432',50.34,482.13,532.47,0,0,0,532.47,9.3,0,1.01
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',2010,BENZENE,'000071432',37.31,138.48,175.79,0,0,0,175.79,7.09,0,0
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',2011,BENZENE,'000071432',29.06,133.93,162.99,0,0,0,162.99,261.26,0,35.72
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',2012,BENZENE,'000071432',30.6,133.58,164.18,0,0,0,164.18,8.11,0,1268.4
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',2013,BENZENE,'000071432',57,190,247,0,0,0,247,9,0,2400
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',2014,BENZENE,'000071432',81,140,221,0,0,0,221,8,0,1200
TESORO EAST HYNES TERMINAL,90805RCPRD5905P,5905 PARAMOUNT BLVD,LONG BEACH,LOS ANGELES,CA,'90805',2015,BENZENE,'000071432',64,68,132,0,0,0,132,5,0,360
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',1998,BENZENE,'000071432',31,47,78,0,0,0,78,0,0,0
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',1999,BENZENE,'000071432',9,148,157,0,0,51,208,51,0,0
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',2000,BENZENE,'000071432',9,55,64,0,0,0,64,0,0,0
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',2001,BENZENE,'000071432',25,149,174,0,0,0,174,0,0,0
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',2002,BENZENE,'000071432',6,138,144,0,0,0,144,0,0,0
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',2003,BENZENE,'000071432',28,223,251,0,0,0,251,0,0,0
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',2004,BENZENE,'000071432',6,122,128,0,0,0,128,0,0,0
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',2005,BENZENE,'000071432',10.88,89.41,100.29,0,0,0,100.29,0,0,0
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',2006,BENZENE,'000071432',12.65,81.7,94.35,0,0,0,94.35,0,0,0
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',2007,BENZENE,'000071432',23.46,83.56,107.02,0,0,0,107.02,0,0,0
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',2008,BENZENE,'000071432',15.74,82.32,98.06,0,0,0,98.06,0,0,0
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',2009,BENZENE,'000071432',15.18,69.37,84.55,0,0,0,84.55,1.05,0.78,391.35
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',2010,BENZENE,'000071432',14.76,71.96,86.72,0,0,0,86.72,7.62,0,153.01
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',2011,BENZENE,'000071432',15.57,67.72,83.29,0,0,0,83.29,0,0,84.55
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',2012,BENZENE,'000071432',9.75,45.61,55.36,0,0,0,55.36,1.15,0,0.57
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',2013,BENZENE,'000071432',11,66,77,0,0,0,77,16,0,0
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',2014,BENZENE,'000071432',14,130,144,0,0,0,144,0,0,0
TESORO HATHAWAY TERMINAL,90806DGNGT2350H,2350 OBISPO AVE,SIGNAL HILL,LOS ANGELES,CA,'90755',2015,BENZENE,'000071432',18,95,113,0,0,0,113,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,BENZENE,'000071432',2670,1680,4350,40,0,0,4390,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1988,BENZENE,'000071432',79282,0,79282,0,0,0,79282,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1989,BENZENE,'000071432',8800,0,8800,0,0,0,8800,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1989,BENZENE,'000071432',3845,2550,6395,20,0,0,6415,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1990,BENZENE,'000071432',10259,750,11009,0,0,0,11009,0,0,0
TESORO LOS ANGELES REFINERY-CARSON OPERATIONS,90749RCPRD1801E,2350 E 223RD ST,CARSON,LOS ANGELES,CA,'90810',1990,BENZENE,'000071432',2830,1350,4180,15,0,0,4195,0,0,0
