Facility name,TRI ID,Address,City,County,State,Zip Code,Year,Chemical,CAS,Federal (F) or Commercial (C),Form Type (Form R or A),Industry,Fugitive Air,Stack Air,Total Air,Surface Water Discharge,Underground Injection,Land Disposal,Total on-site release,Off-site release,Total on- and off-site releases,Transfer to recycling,Transfer to energy recovery,Transfer to treatment,Transfer to POTWs,Other off-site transfer,Total transfers off-site for waste management,Recycled on-site,Recycled off-site,Energy recovery on-site,Energy recovery off-site,Treated on-site,Treated off-site,Quantity released on- and off-site,Total production-related waste managed,Non production-related waste managed
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1991,METHYLENEBIS(PHENYLISOCYANATE),'000101688',C,R,NAICS 331 - Primary Metals,         5.0000000,          .0000000,         5.0000000,          .0000000,          .0000000,          .0000000,         5.0000000,.,         5.0000000,.,.,.,          .0000000,.,          .0000000,          .0000000,             .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1991,SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY),'007664939',C,R,NAICS 331 - Primary Metals,         5.0000000,         5.0000000,        10.0000000,          .0000000,          .0000000,          .0000000,        10.0000000,          .0000000,        10.0000000,.,.,       250.0000000,          .0000000,          .0000000,       250.0000000,          .0000000,             .0000000,          .0000000,          .0000000,     17288.0000000,       493.0000000,          .0000000,     17781.0000000,          .0000000
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1992,"1,2,4-TRIMETHYLBENZENE",'000095636',C,R,NAICS 331 - Primary Metals,       750.0000000,          .0000000,       750.0000000,         5.0000000,          .0000000,       250.0000000,      1005.0000000,.,      1005.0000000,         5.0000000,.,          .0000000,          .0000000,          .0000000,         5.0000000,          .0000000,             .0000000,          .0000000,          .0000000,          .0000000,          .0000000,       507.0000000,       507.0000000,          .0000000
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1992,ALUMINUM (FUME OR DUST),'007429905',C,R,NAICS 331 - Primary Metals,       250.0000000,       250.0000000,       500.0000000,         5.0000000,          .0000000,          .0000000,       505.0000000,.,       505.0000000,     39569.0000000,.,          .0000000,         5.0000000,          .0000000,     39574.0000000,          .0000000,        39569.0000000,          .0000000,          .0000000,          .0000000,          .0000000,       511.0000000,     40080.0000000,          .0000000
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1992,METHYLENEBIS(PHENYLISOCYANATE),'000101688',C,R,NAICS 331 - Primary Metals,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,.,          .0000000,          .0000000,.,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,             .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1992,PHENOL,'000108952',C,R,NAICS 331 - Primary Metals,          .0000000,          .0000000,          .0000000,         5.0000000,          .0000000,       250.0000000,       255.0000000,.,       255.0000000,         5.0000000,.,          .0000000,         5.0000000,          .0000000,        10.0000000,          .0000000,             .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1992,SULFURIC ACID (1994 AND AFTER ACID AEROSOLS ONLY),'007664939',C,R,NAICS 331 - Primary Metals,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,.,.,      1200.0000000,          .0000000,          .0000000,      1200.0000000,          .0000000,             .0000000,          .0000000,          .0000000,      7400.0000000,      1200.0000000,          .0000000,      8600.0000000,          .0000000
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1993,ALUMINUM (FUME OR DUST),'007429905',C,R,NAICS 331 - Primary Metals,       250.0000000,       250.0000000,       500.0000000,       250.0000000,          .0000000,          .0000000,       750.0000000,.,       750.0000000,     48906.0000000,.,          .0000000,         5.0000000,          .0000000,     48911.0000000,          .0000000,        48906.0000000,          .0000000,          .0000000,          .0000000,          .0000000,       679.0000000,     49585.0000000,          .0000000
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1993,METHYLENEBIS(PHENYLISOCYANATE),'000101688',C,R,NAICS 331 - Primary Metals,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,.,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,             .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000,          .0000000
CONSOLIDATED PRECISION PRODUCTS CORP,91766TLDYN4200W,4200 W VALLEY BLVD,POMONA,LOS ANGELES,CA,'91766',1994,ALUMINUM (FUME OR DUST),'007429905',C,R,NAICS 331 - Primary Metals,       250.0000000,       250.0000000,       500.0000000,       250.0000000,          .0000000,          .0000000,       750.0000000,.,       750.0000000,     33188.0000000,.,          .0000000,       250.0000000,          .0000000,     33438.0000000,          .0000000,        33188.0000000,          .0000000,          .0000000,          .0000000,          .0000000,       633.0000000,     33821.0000000,          .0000000
