Year,Chemical,Total Air,Total on-site release
1995,BENZENE,255,255
1997,BENZENE,255,255
2000,BENZENE,255,255
2001,BENZENE,585,585
2002,BENZENE,413,413
2003,BENZENE,78.26,78.26
2006,BENZENE,5.26,5.26
2007,BENZENE,10,10
2008,BENZENE,10,10
2009,BENZENE,14.18,14.18
2010,BENZENE,14.98,14.98
2011,BENZENE,15.28,15.28
2012,BENZENE,16.98,16.98
2013,BENZENE,9.6,9.6
2014,BENZENE,9.03,9.03
