Facility name,TRI ID,Address,City,County,State,Zip Code,Year,Chemical,CAS,Federal (F) or Commercial (C),Form Type (Form R or A),Industry,Fugitive Air,Stack Air,Total Air,Surface Water Discharge,Underground Injection,Land Disposal,Total on-site release,Off-site release,Total on- and off-site releases,Transfer to recycling,Transfer to energy recovery,Transfer to treatment,Transfer to POTWs,Other off-site transfer,Total transfers off-site for waste management,Recycled on-site,Recycled off-site,Energy recovery on-site,Energy recovery off-site,Treated on-site,Treated off-site,Quantity released on- and off-site,Total production-related waste managed,Non production-related waste managed
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1999,NAPHTHALENE,'000091203',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,0,0,0,0,0,0,1,1,.,.,2,0,3,0,0,0,0,0,0,0,0,1,
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1999,POLYCYCLIC AROMATIC COMPOUNDS,'N590',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,0,0,0,0,0,0,.,0,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1999,TOLUENE,'000108883',C,R,NAICS 4247 - Petroleum Bulk Terminals,114,300,414,0,0,0,414,3,417,.,.,12,0,15,0,0,0,0,0,12,416,428,1,
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',1999,XYLENE (MIXED ISOMERS),'001330207',C,R,NAICS 4247 - Petroleum Bulk Terminals,310,95,405,0,0,0,405,4,409,.,.,15,0,19,0,0,0,0,0,15,408,423,1,
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2000,"1,2,4-TRIMETHYLBENZENE",'000095636',C,R,NAICS 4247 - Petroleum Bulk Terminals,1,5,6,0,0,0,6,9,15,2,.,5,0,0,16,0,0,0,0,0,13,15,28,2
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2000,BENZENE,'000071432',C,R,NAICS 4247 - Petroleum Bulk Terminals,33,242,275,0,0,0,275,3,278,1,.,2,0,0,6,0,0,0,0,0,2,278,280,1
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2000,CYCLOHEXANE,'000110827',C,R,NAICS 4247 - Petroleum Bulk Terminals,20,101,121,0,0,0,121,5,126,1,.,3,0,0,9,0,0,0,0,0,3,126,129,1
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2000,ETHYLBENZENE,'000100414',C,R,NAICS 4247 - Petroleum Bulk Terminals,43,9,52,0,0,0,52,6,58,1,.,3,0,0,10,0,0,0,0,0,3,58,61,1
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2000,MERCURY COMPOUNDS,'N458',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2000,METHANOL,'000067561',C,R,NAICS 4247 - Petroleum Bulk Terminals,189,1390,1579,0,0,0,1579,0,1579,0,.,0,0,0,0,0,0,0,0,0,0,1579,1579,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2000,METHYL TERT-BUTYL ETHER,'001634044',C,R,NAICS 4247 - Petroleum Bulk Terminals,413,2424,2837,0,0,0,2837,29,2866,5,.,16,0,0,50,0,0,0,0,0,16,2866,2882,5
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2000,N-HEXANE,'000110543',C,R,NAICS 4247 - Petroleum Bulk Terminals,203,32,235,0,0,0,235,9,244,1,.,5,0,0,15,0,0,0,0,0,5,244,249,1
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2000,POLYCYCLIC AROMATIC COMPOUNDS,'N590',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,1,1,0,0,0,1,1,2,0,.,0,0,0,1,0,0,0,0,0,0,1,1,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2000,TOLUENE,'000108883',C,R,NAICS 4247 - Petroleum Bulk Terminals,65,118,183,0,0,0,183,19,202,4,.,11,0,0,34,0,0,0,0,0,11,202,213,4
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2000,XYLENE (MIXED ISOMERS),'001330207',C,R,NAICS 4247 - Petroleum Bulk Terminals,130,29,159,0,0,0,159,24,183,5,.,13,0,0,42,0,0,0,0,0,13,183,196,5
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2001,"1,2,4-TRIMETHYLBENZENE",'000095636',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,190,190,0,0,0,190,2,192,1,.,9,0,0,12,0,0,0,0,0,9,182,191,10
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2001,BENZENE,'000071432',C,R,NAICS 4247 - Petroleum Bulk Terminals,30,122,152,0,0,0,152,0,152,0,.,0,0,0,0,0,0,0,0,0,0,152,152,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2001,CYCLOHEXANE,'000110827',C,R,NAICS 4247 - Petroleum Bulk Terminals,25,142,167,0,0,0,167,1,168,1,.,5,0,0,7,0,0,0,0,0,5,163,168,5
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2001,ETHYLBENZENE,'000100414',C,R,NAICS 4247 - Petroleum Bulk Terminals,71,112,183,0,0,0,183,1,184,1,.,0,0,0,2,0,0,0,0,0,0,183,183,1
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2001,MERCURY COMPOUNDS,'N458',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2001,METHANOL,'000067561',C,R,NAICS 4247 - Petroleum Bulk Terminals,189,829,1018,0,0,0,1018,0,1018,0,.,0,0,0,0,0,0,0,0,0,0,1018,1018,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2001,METHYL TERT-BUTYL ETHER,'001634044',C,R,NAICS 4247 - Petroleum Bulk Terminals,383,2238,2621,0,0,0,2621,4,2625,3,.,1,0,0,8,0,1,0,0,0,1,2621,2623,4
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2001,N-HEXANE,'000110543',C,R,NAICS 4247 - Petroleum Bulk Terminals,42,278,320,0,0,0,320,1,321,1,.,9,0,0,11,0,0,0,0,0,9,312,321,9
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2001,NAPHTHALENE,'000091203',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,27,27,0,0,0,27,1,28,1,.,3,0,0,5,0,0,0,0,0,3,25,28,3
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2001,POLYCYCLIC AROMATIC COMPOUNDS,'N590',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,28,28,0,0,0,28,0,28,0,.,0,0,0,0,0,0,0,0,0,0,28,28,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2001,TOLUENE,'000108883',C,R,NAICS 4247 - Petroleum Bulk Terminals,173,539,712,0,0,0,712,2,714,3,.,0,0,0,5,0,1,0,0,0,0,711,712,2
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2001,XYLENE (MIXED ISOMERS),'001330207',C,R,NAICS 4247 - Petroleum Bulk Terminals,271,152,423,0,0,0,423,3,426,3,.,2,0,0,8,0,1,0,0,0,2,422,425,3
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2002,"1,2,4-TRIMETHYLBENZENE",'000095636',C,R,NAICS 4247 - Petroleum Bulk Terminals,9,330,339,5,0,0,344,250,594,.,.,500,0,0,750,0,0,0,0,0,30,125,155,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2002,BENZENE,'000071432',C,R,NAICS 4247 - Petroleum Bulk Terminals,8,135,143,0,0,0,143,5,148,.,.,10,0,0,15,0,0,0,0,0,11,10,21,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2002,CYCLOHEXANE,'000110827',C,R,NAICS 4247 - Petroleum Bulk Terminals,5,119,124,0,0,0,124,5,129,.,.,250,0,0,255,0,0,0,0,0,28,2,30,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2002,ETHYLBENZENE,'000100414',C,R,NAICS 4247 - Petroleum Bulk Terminals,5,116,121,0,0,0,121,250,371,.,.,10,0,0,260,0,0,0,0,0,20,86,106,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2002,MERCURY COMPOUNDS,'N458',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,0,0,0,0,0,0,0,0,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2002,METHANOL,'000067561',C,R,NAICS 4247 - Petroleum Bulk Terminals,21,841,862,0,0,0,862,.,862,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2002,METHYL TERT-BUTYL ETHER,'001634044',C,R,NAICS 4247 - Petroleum Bulk Terminals,356,5171,5527,5,0,0,5532,5,5537,.,.,500,0,0,505,0,0,0,0,0,281,11,292,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2002,N-HEXANE,'000110543',C,R,NAICS 4247 - Petroleum Bulk Terminals,21,331,352,5,0,0,357,.,357,.,.,505,0,0,505,0,0,0,0,0,89,3,92,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2002,NAPHTHALENE,'000091203',C,R,NAICS 4247 - Petroleum Bulk Terminals,1,23,24,0,0,0,24,250,274,.,.,10,0,0,260,0,0,0,0,0,11,43,54,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2002,POLYCYCLIC AROMATIC COMPOUNDS,'N590',C,R,NAICS 4247 - Petroleum Bulk Terminals,0,59,59,0,0,0,59,8.52,67.52,.,.,3.77,0,0,12.29,0,0,0,0,0,3.77,8.52,12.29,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2002,TOLUENE,'000108883',C,R,NAICS 4247 - Petroleum Bulk Terminals,24,618,642,0,0,0,642,5,647,.,.,500,0,0,505,0,0,0,0,0,49,10,59,0
TESORO MARINE TERMINAL 2,90813RCPRD1300P,1300 W PIER B ST,LONG BEACH,LOS ANGELES,CA,'90813',2002,XYLENE (MIXED ISOMERS),'001330207',C,R,NAICS 4247 - Petroleum Bulk Terminals,24,616,640,0,0,0,640,250,890,.,.,500,0,0,750,0,0,0,0,0,74,140,214,0
