"TRI On-site and Off-site Reported Disposed of or Otherwise Released (in pounds), top 100  facilities (of 383) for  facilities in All Industries, for  All chemicals,   Los Angeles County, California, 2015"
"Row #","Facility","Latitude","Longitude","Underground","RCRA Subtitle","Other On-Site","Sub Total","Fugitive Air","Point Source","Surface Water","Underground","Land Treatment","RCRA Subtitle","Other Surface","Other Land","Sub Total","Total On-site","Underground","RCRA Subtitle","Other Landfills","Sub Total","Storage Only","Solidification","Wastewater","POTWs (Metal","Underground","RCRA Subtitle","Other Surface","Land Treatment","Other Land","Other Off-site","Waste Broker","Unknown","Sub Total","Total Off-site","Total On- and "
" "," "," "," ","Injection","C Landfills","Landfills","","Emissions","Air Emissions","Discharges","Injection","","C Surface","Impoundments","Disposal","","Disposal or","Injection to","C Landfills","","","","/Stabilization","Treatment-","and Metal","Injection","C Surface","Impoundments","","Disposal","Management","","","","Disposal or","Off-site"
" "," "," "," ","Class I Wells","","","","","","","Class II-V Wells","","Impoundments","","","","Other Releases","to Class I","","","","","(metals only)","Metals Only","Compounds)","Class II-V Wells","Impoundments","","","","","","","","Other Releases","Disposal or"
" "," "," "," ","","","","","","","","Wells","","","","","","","","","","","","","","","Wells","","","","","","","","","","Other Releases"
" ","LEAD COMPOUNDS"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".","                .7890000",".",".",".",".",".",".",".",".","                .7890000","                .7890000","                .7890000"
"7","ACE CLEARWATER ENTERPRISES INC.14105 S GARFIELD AVE, PARAMOUNT CALIFORNIA 90723 (LOS ANGELES)","              33.905","            -118.169","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0130000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0130000","                .0130000",".",".",".",".",".",".",".","                .4340000",".",".",".",".",".",".",".",".","                .4340000","                .4340000","                .4470000"
" ","LEAD"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0130000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0130000","                .0130000",".",".",".",".",".",".",".","                .4340000",".",".",".",".",".",".",".",".","                .4340000","                .4340000","                .4470000"
"8","ACTIVE MAGNETIC INSPECTION INC.9356 1/2 SAN FERNANDO ROAD, UNIT B, SUN VALLEY CALIFORNIA 91352 (LOS ANGELES)","              34.239","            -118.394","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".","              10.0000000",".",".",".",".",".",".",".",".","              10.0000000","              10.0000000","              10.0000000"
" ","CHROMIUM"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".","               5.0000000",".",".",".",".",".",".",".",".","               5.0000000","               5.0000000","               5.0000000"
" ","NICKEL"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".","               5.0000000",".",".",".",".",".",".",".",".","               5.0000000","               5.0000000","               5.0000000"
" ","NITRIC ACID"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","                .0000000"
"9","AERO-ELECTRIC CONNECTOR INC.518 AMAPOLA AVE, TORRANCE CALIFORNIA 90501 (LOS ANGELES)","              33.843","            -118.323","                .0000000","                .0000000","                .0000000","                .0000000","               5.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","               5.0000000","               5.0000000",".",".","              34.0900000","              34.0900000",".","                .0000000","                .0000000","                .0000000",".",".",".",".",".","             104.3200000",".",".","             104.3200000","             138.4100000","             143.4100000"
" ","CHROMIUM"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".","              11.3600000","              11.3600000",".","                .0000000","                .0000000","                .0000000",".",".",".",".",".","             104.3200000",".",".","             104.3200000","             115.6800000","             115.6800000"
" ","LEAD"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".",".",".",".","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".",".","                .0000000","                .0000000","                .0000000"
" ","NICKEL COMPOUNDS"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".","              22.7300000","              22.7300000",".","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".",".","                .0000000","              22.7300000","              22.7300000"
" ","NITRIC ACID"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","               5.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","               5.0000000","               5.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","               5.0000000"
"10","AEROCRAFT HEAT TREATING CO INC.15701 MINNESOTA AVENUE, PARAMOUNT CALIFORNIA 90723 (LOS ANGELES)","              33.890","            -118.167","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".","             201.1000000","             201.1000000",".","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".",".","                .0000000","             201.1000000","             201.1000000"
" ","CHROMIUM"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".","             135.0000000","             135.0000000",".","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".",".","                .0000000","             135.0000000","             135.0000000"
" ","COBALT"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".","               1.2900000","               1.2900000",".","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".",".","                .0000000","               1.2900000","               1.2900000"
" ","COPPER"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".","              19.0000000","              19.0000000",".","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".",".","                .0000000","              19.0000000","              19.0000000"
" ","NICKEL"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000",".",".","              45.8100000","              45.8100000",".","                .0000000","                .0000000","                .0000000",".",".",".",".",".",".",".",".","                .0000000","              45.8100000","              45.8100000"
"11","AEROSPACE DYNAMICS INTERNATIONAL INC.25540 RYE CANYON RD, VALENCIA CALIFORNIA 91355 (LOS ANGELES)","              34.434","            -118.583","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","               1.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","               1.0000000","               1.0000000",".",".",".",".",".","                .0000000","               7.0000000","                .0000000",".",".",".",".",".",".",".",".","               7.0000000","               7.0000000","               8.0000000"
" ","COPPER"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","               1.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","               1.0000000","               1.0000000",".",".",".",".",".","                .0000000","               7.0000000","                .0000000",".",".",".",".",".",".",".",".","               7.0000000","               7.0000000","               8.0000000"
"12","AG LAYNE INC.4578 BRAZIL ST, LOS ANGELES CALIFORNIA 90039 (LOS ANGELES)","              34.147","            -118.275","                .0000000","                .0000000","                .0000000","                .0000000","             329.0000000","              18.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","             347.0000000","             347.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","             347.0000000"
" ","METHANOL"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","              88.0000000","              10.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","              98.0000000","              98.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","              98.0000000"
" ","N-HEXANE"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","              90.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","              90.0000000","              90.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","              90.0000000"
" ","TOLUENE"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","              57.0000000","               6.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","              63.0000000","              63.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","              63.0000000"
" ","XYLENE (MIXED ISOMERS)"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","              94.0000000","               2.0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","              96.0000000","              96.0000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","              96.0000000"
"13","AIR LIQUIDE INDUSTRIAL USLP.1502 W ANAHEIM ST, WILMINGTON CALIFORNIA 90744 (LOS ANGELES)","              33.779","            -118.284","                .0000000","                .0000000","                .0000000","                .0000000","           7,637.5000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           7,637.5000000","           7,637.5000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","           7,637.5000000"
" ","AMMONIA"," "," ","                .0000000","                .0000000","                .0000000","                .0000000","           7,637.5000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","                .0000000","           7,637.5000000","           7,637.5000000",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".","           7,637.5000000"
